id, product_code, product_name, price
1, A123, Premium T-Shirt, $24.99
2, B456C, Wireless Headphones, $89.99
3, C789, Leather Wallet, $34.99
4, D890, Stainless Steel Watch, $149.99
5, E234, Yoga Mat, $29.99
6, F567, Portable Bluetooth Speaker, $44.99
7, G901D, Coffee Maker, $79.99
8, H345, Running Shoes, $59.99
9, I678V, Cooking Pan Set, $99.99
10, J912, Backpack, $39.99
11, K234, Drone with HD Camera, $199.99
12, L678, Bluetooth Earbuds, $69.99
13, M123R, Digital Alarm Clock, $19.99
14, N567, Smart Home Security Camera, $129.99
15, O901E, Men's Grooming Kit, $49.99
16, P34E5, Resistance Bands Set, $14.99
17, Q789, Professional Hair Dryer, $74.99
18, R234E, Insulated Water Bottle, $22.99
19, S678, Electric Toothbrush, $39.99
20, T123E, Air Fryer, $89.99
21, U567, Bamboo Cutting Board, $17.99
22, V901, Essential Oil Diffuser, $29.99
23, W345, Women's Sunglasses, $59.99
24, X789, Stainless Steel Water Bottle, $24.99
25, Y123, Portable Power Bank, $34.99
26, Z567, Cast Iron Skillet, $49.99
27, 1234, Mesh Office Chair, $129.99
28, ABCD, Home Workout Set, $79.99
29, DEF24, Food Processor, $89.99
30, 4GHI, 4K Smart TV, $599.99
